,Period,Time,Fx,Fy,Fz,Mx,My,Mz
31,126.0,63.16385865211487,-54.648292418827815,-182.0236150555817,-596.9522247614393,2319.6296908337667,-694.4343903982804,-148.00911964145698
32,127.0,63.476341009140015,-51.83930898382996,-176.84957749472028,-532.5107146826031,2317.313074258003,-578.8681827008419,-24.19801367172284
33,128.0,63.801366448402405,-44.5441865740749,-170.05479463298423,-510.7752338752303,2079.1331727197253,-434.5296095148982,-38.07303652555672
34,129.0,64.11280858516693,-47.1650209806793,-175.6142601177271,-565.4323386541023,1877.9313503305839,-598.1214369629112,35.85673625670438
35,13.0,17.29345428943634,-44.55038814096434,-45.960822031755264,-621.6056470185767,-1056.8930266843736,85.29352905364446,273.15887713808945
36,130.0,64.4232646226883,-42.79746878988422,-167.67172161243334,-498.3007985952759,1984.3199349811669,-425.80579636468354,42.3937841225707
37,131.0,64.7467473745346,-37.59943712194364,-163.71105338966296,-517.22010711771,1813.7133707964938,-517.8855776944022,-20.373260315152105
38,132.0,65.07033133506775,-42.95474837807888,-168.70525608081397,-559.1914466028173,1863.6084144849287,-579.6753724182382,42.32307043889702
39,133.0,65.38149881362915,-40.180491657757614,-172.4179733104776,-560.4271662777868,1745.2047578216036,-566.0155747742622,14.6970508695352
40,134.0,65.67993438243866,-37.7264745319016,-167.4162737637167,-576.0858417293806,1775.141684510084,-508.09223116671666,-22.41488820886822
41,135.0,65.9664865732193,-41.966493333605605,-174.769766166176,-644.2401467432982,1913.2921897429137,-648.599468708685,29.58197329235626
42,136.0,66.25360870361328,-37.117376649469975,-173.09197699723128,-596.0772811761266,1979.7324723707293,-582.8847361204148,28.143880886680464
43,137.0,66.56540501117706,-36.68629847166777,-167.35367711126935,-543.7534045775836,1923.2268313750772,-560.1828467650815,-18.370800281168528
44,138.0,66.87688076496124,-40.840551720968726,-176.16767316409644,-610.5083163066281,1979.18642585979,-496.59156096210825,51.55539602987696
45,139.0,67.17407560348511,-43.870940008172724,-170.88611940057257,-592.252740852589,1689.0906967667381,-475.75174845710507,4.662422761512934
46,14.0,17.85666298866272,-41.66899995279251,-50.39061328942423,-632.1118944313014,-969.1076871611803,51.36880173446635,257.49414636915157
47,140.0,67.47023284435272,-49.294294131036146,-175.07142202315984,-548.8511819106956,1992.0952494991707,-522.0004065023202,-25.951548041813282
48,141.0,67.78021454811096,-43.94473549598595,-173.11913070748196,-502.5921877712701,1798.0944880960778,-427.35617988643395,58.67634810163692
49,142.0,68.10225772857666,-45.675053555112285,-178.9225470508056,-485.6858145998469,2095.3568210486983,-462.7097037699785,-19.015802941686175
50,143.0,68.39940214157104,-49.00540207289608,-195.6531746598734,-584.0737915712917,2488.759528832653,-446.2954529573984,-76.70909045547299
51,144.0,68.68476700782776,-43.771803729483885,-187.90226273929332,-540.1796335562569,2421.5993129567714,-375.66161145534375,6.5411095121290606
52,145.0,68.98314321041107,-49.40057379143732,-191.9962845933967,-557.2901004719442,2723.673847479416,-402.6930333891731,-121.23109929231141
53,146.0,69.28083610534668,-44.50775450799857,-185.29977656356223,-568.6590147480667,2359.808236331102,-544.4620240445809,56.39776754455762
54,147.0,69.5785266160965,-42.2607097956239,-185.63676956220166,-582.6553827008686,2381.6716005185795,-647.2189352625846,-10.176491126060759
55,15.0,18.406312346458435,-44.96085141186719,-50.63136266526328,-631.0476077855876,-935.6375662464795,110.52804092318824,271.4847920001589
56,16.0,18.95564830303192,-41.78932810294762,-49.09460444684522,-630.974524376021,-954.1459126794841,86.039838806697,260.8379685510606
57,17.0,19.505674123764038,-44.99324876737654,-52.94090947441168,-636.38726252246,-850.3963461998458,67.30655535187212,300.14929738748845
58,18.0,20.05584228038788,-42.88265623187673,-50.604477015877684,-624.6661397877012,-1010.3977779905545,57.29155905942231,255.60362690080578
59,19.0,20.580777525901794,-48.06509076687531,-61.98994662570221,-648.7076237768805,-677.9279468875168,24.23115671980982,265.57293084091594
60,2.0,10.453899621963501,-45.9761626310588,-29.494988330160115,-650.9634459747484,-1357.8822708775624,-64.21475661959829,139.913293832239
61,20.0,21.105663657188416,-38.99313512181397,-51.855901698557616,-596.509018021815,-917.4654057611717,156.64059761976995,314.23101959695595
